,Team,Player,Mouse,Hz,DPI,Sens,eDPI,Scoped Sens,Monitor,Resolution,Mousepad,Keyboard,Headset
,BBL Esports,pAura,Logitech G Pro X Superlight Black,1000,400,0.6,240,1,ZOWIE XL2546,1920x1080,SteelSeries QcK+,HyperX Alloy FPS Pro,HyperX Cloud II
,BBL Esports,Elite,,1000,800,0.32,256,,ZOWIE XL2546,1920x1080,,,HyperX Cloud II
,BBL Esports,QutionerX,Logitech G Pro X Superlight Red,1000,800,0.214,171.2,,ZOWIE XL2546,1280x960,Corsair MM350 Champion Series,HyperX Alloy Elite,HyperX Cloud II
,BBL Esports,reazy,Xtrfy M4 Wireless White,,800,0.22,176,,ZOWIE XL2566K,1920x1080,,,HyperX Cloud II
,BBL Esports,Brave,Endgame Gear XM2we,1000,400,0.85,340,1,ZOWIE XL2546K,1920x1080,ZOWIE G-SR-SE Rouge,Logitech G Pro X Keyboard,Logitech G Pro X Headset
,T1,Carpe,VGN Dragonfly F1 Pro,4000,900,0.234,210.6,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero XSoft,Wooting 60 HE,Sennheiser GAME ZERO
,T1,iZu,Razer Viper V3 Pro White,4000,1600,0.2,320,,,1280x960,Artisan Raiden FX XSoft,Razer Huntsman V3 Pro TKL Black,
,T1,Rossy,Razer Deathadder V3 Pro White,1000,1600,0.154,246.4,1,ASUS TUF VG279QM,1280x1024,Artisan Ninja FX Zero XSoft,Wooting 60 HE,Logitech G Pro X Headset
,T1,Sayaplayer,Razer Viper Mini Signature Edition,1000,1000,0.339,339,0.9,ZOWIE XL2546K,1920x1080,VAXEE PA Pcute,Wooting 60 HE,HyperX Cloud II Wireless
,T1,stax,Logitech G Pro X Superlight 2 Magenta,4000,400,0.42,168.00,0.9,ZOWIE XL2546S,1920x1080,Lethal Gaming Gear Saturn Pro Red,Razer Huntsman V3 Pro Mini,Razer BlackShark V2 Pro Black
,T1,xccurate,Logitech G Pro X Superlight 2 Black,2000,400,0.59,236,1,ZOWIE XL2546,1280x960,Zowie G-SR II,Razer Huntsman V3 Pro TKL White,Logitech G PRO X 2 Headset White
,Team Heretics,MiniBoo,Razer Deathadder V3 Pro White,4000,800,0.29,232,1.05,ZOWIE XL2540,1600x900,Logitech G840,Logitech G Pro X TKL Keyboard Magenta,Logitech G PRO X 2 Headset White
,Team Heretics,RieNs,Logitech G Pro X Superlight 2 White,1000,800,0.27,216,,,1920x1080,Artisan Hayate Otsu XSoft,Wooting 60 HE,
,Team Heretics,SirMaza,VAXEE XE Wireless Yellow,1000,400,0.5,200,1,ZOWIE XL2566K,1920x1080,ZOWIE G-SR,SteelSeries Apex Pro TKL (2023),JBL Quantum One
,Team Heretics,Boo,Razer Viper V2 Pro White,1000,400,0.75,300,1,ZOWIE XL2546,1280x960,Logitech G740,Logitech G Pro X TKL Keyboard Black,HyperX Cloud II Wireless
,Team Heretics,benjyfishy,Logitech G Pro X Superlight 2 Black,1000,800,0.283,226.4,1,HP OMEN 24.5″,1280x960,GameSense Radar Benjyfishy,Wooting 60 HE,beyerdynamic DT 700 PRO X
,Team Heretics,Wo0t,Logitech G Pro X Superlight 2 White,4000,500,0.5,250,0.9,ZOWIE XL2546K,1280x960,Logitech G640 Black,Logitech G Pro X 60,Logitech G PRO X 2 Headset Black
,NRG,ethos,Logitech G Pro X Superlight 2 White,2000,1600,0.137,219.2,0.69,ZOWIE XL2546,1920x1080,VAXEE PA ZYGEN,Wooting 60 HE,HyperX Cloud II
,NRG,crashies,Logitech G Pro X Superlight 2 Black,1000,800,0.23,184,0.875,ZOWIE XL2546,1920x1080,Artisan Ninja FX Zero XSoft,Wooting 60 HE,Sennheiser GAME ZERO
,NRG,Ethan,ZOWIE EC3-CW,1000,400,0.68,272,0.81,ZOWIE XL2540,1440x1080,Lethal Gaming Gear Saturn,ASUS ROG Falchion RX Low Profile,HyperX Cloud II
,NRG,Victor,Logitech G Pro X Superlight Black,1000,800,0.275,220,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft Orange,Wooting 60 HE,Razer BlackShark V2
,NRG,FNS,Logitech G Pro X Superlight 2 Black,1000,400,0.55,220,1,ZOWIE XL2546,1920x1080,Artisan FX Hien XSoft,Wooting 60 HE,HyperX Cloud II
,NRG,s0m,Logitech G Pro X Superlight 2 White,2000,400,0.8,320,1,ZOWIE XL2566K,1920x1080,SteelSeries QcK Heavy,Logitech G915 TKL Carbon,HyperX Cloud Alpha
,NRG,Demon1,Razer Viper Mini Signature Edition,4000,1600,0.1,160,1,ZOWIE XL2586X,1920x1080,ZOWIE G-SR-SE Rouge,ASUS ROG Falchion RX Low Profile,HyperX Cloud II
,TSM,aproto,Razer Deathadder V3 Pro White,1000,800,0.31,248.00,1,ZOWIE XL2546K,1920x1080,SWIPE SP-FROST,Razer BlackWidow V3 TKL,HyperX Cloud II
,TSM,gMd,Logitech G Pro X Superlight Black,1000,800,0.45,360,0.85,ZOWIE XL2540,1920x1080,Logitech G640 Original,Logitech G Pro Keyboard,Logitech G Pro Headset
,TSM,seven,Logitech G Pro X Superlight Black,1000,1600,0.25,400,1,Lenovo Legion Y25-25,1920x1080,Logitech G640 Original,,Logitech G Pro X Headset
,FunPlus Phoenix,AAAAY,Razer Viper V3 Pro Black,4000,,,,,,,Zowie G-SR II,Wooting 60 HE,
,FunPlus Phoenix,Lysoar,Razer DeathAdder V3 HyperSpeed,8000,800,0.25,200,1,ZOWIE XL2566K,1920x1080,Lethal Gaming Gear Saturn Pro V2,Wooting 60 HE,
,FunPlus Phoenix,BerLIN,Razer Viper V3 Pro Black,4000,800,0.41,328,1.3,ZOWIE XL2540K,1280x1024,VAXEE PA P22,Wooting 60 HE,Razer BlackShark V2 Pro White
,FunPlus Phoenix,Autumn,Logitech G Pro X Superlight 2 Black,1000,1600,0.113,180.80,,,1920x1080,VAXEE PA ZYGEN,Wooting 60 HE,Razer BlackShark V2 Pro Black
,FunPlus Phoenix,Life,Razer Viper V3 Pro Black,,400,0.58,232.00,,,,ESPTIGER Tang Dao,Wooting 60 HE,Razer BlackShark V2 Pro Black
,Gen.G,Munchkin,Razer Viper V3 Pro Black,1000,800,0.35,280,1,ZOWIE XL2546K,1440x1080,X-raypad Aqua Control+,Razer Huntsman V3 Pro TKL Black,Sennheiser GAME ONE
,Gen.G,Karon,Logitech G Pro X Superlight Magenta,1000,800,0.2,160,1,ZOWIE XL2546K,1920x1080,X-raypad Aqua Control+,Wooting 60 HE,
,Gen.G,t3xture,Logitech G Pro X Superlight Magenta,1000,800,0.45,360,1,ZOWIE XL2546K,1920x1080,SteelSeries QcK Heavy,SteelSeries Apex Pro TKL (2023),Razer BlackShark V2 Pro White
,Gen.G,Lakia,Razer Viper Mini Signature Edition,1000,800,0.33,266.4,1,ZOWIE XL2546,1920x1080,SteelSeries QcK Heavy,Wooting 60 HE,Razer BlackShark V2 Pro White
,Gen.G,Meteor,Logitech G Pro X Superlight 2 White,2000,800,0.3,240.00,1.3,ZOWIE XL2546S,1920x1080,Artisan Hayate Otsu Soft,Wooting 60 HE,Razer BlackShark V2 Pro White
,Sentinels,SicK,Logitech G900,1000,800,0.235,188,1,ZOWIE XL2546,1920x1080,Logitech G640 Original,HyperX Alloy FPS Pro,HyperX Cloud II
,Sentinels,zombs,Logitech G Pro X Superlight Black,1000,400,0.54,216,1,ZOWIE XL2540,1920x1080,Logitech G640 Original,Gamesense Clutch,HyperX Cloud II
,Sentinels,curry,ASUS ROG Harpe Ace,1000,1600,0.14,224,1,ASUS PG248QP,1920x1080,Artisan Ninja FX Zero XSoft,Wooting 60 HE,HyperX Cloud II Wireless
,Sentinels,Zellsis,Logitech G Pro X Superlight Black,1000,800,0.215,172,0.82,ZOWIE XL2566K,1920x1080,ZOWIE G-SR-SE Gris,Wooting 60 HE,Sennheiser GAME ZERO
,Sentinels,johnqt,Logitech G Pro X Superlight 2 Black,1000,1600,0.2,320,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,HyperX Cloud II
,Sentinels,tarik,Finalmouse Ultralight X Large,1000,800,0.471,376.8,1,ZOWIE XL2566K,1680x1050,Artisan Ninja FX Zero Soft,Wooting 60 HE,beyerdynamic DT 770 Pro
,Sentinels,Sacy,Razer Viper V3 Pro Black,2000,800,0.48,384.00,1,ZOWIE XL2546,1920x1080,ZOWIE G-SR-SE Rouge,Wooting two HE,Logitech G Pro X Headset
,Sentinels,TenZ,Logitech G Pro X Superlight 2 Black,1000,1600,0.24,384,1,ZOWIE XL2586X,1920x1080,Custom Mousepad,Wooting 60 HE,Xtrfy H1
,Sentinels,Zekken,Razer Viper V3 Pro White,1000,1600,0.175,280,0.8,ZOWIE XL2566K,1920x1080,Razer Strider,Razer Huntsman V3 Pro Mini,Razer BlackShark V2 Pro Black
,Paper Rex,d4v41,Logitech G Pro X Superlight 2 Magenta,1000,900,0.21,189.00,1.15,ZOWIE XL2566K,1280x1024,Pulsar eS2 Nezuko,Yuki Aim 65% Keyboard,Razer Hammerhead Pro V2
,Paper Rex,mindfreak,VAXEE XE-S Wireless,4000,400,0.6,240,0.9,ZOWIE XL2566K,1920x1080,Lethal Gaming Gear Saturn Pro,Wooting 60 HE,
,Paper Rex,Jinggg,G-Wolves Hati S+ 4K,2000,1600,0.177,283.20,1.1,ZOWIE XL2566K,1280x960,Artisan Ninja FX Zero XSoft Orange,Wooting 60 HE,HyperX Cloud II
,Paper Rex,something,Logitech G Pro X Superlight 2 White,1000,800,0.475,380.00,1.15,ZOWIE XL2566K,1920x1080,Yuki Aim Oni Black,Wooting 60 HE,HyperX Cloud III
,Paper Rex,f0rsakeN,Logitech G Pro X Superlight 2 White,2000,800,0.712,569.6,1,ZOWIE XL2566K,1920x1080,Logitech G640 Black,Wooting 60 HE,HyperX Cloud III
,Acend,baddyG,Razer Viper V3 Pro Black,4000,800,0.33,264,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero XSoft,Razer Huntsman V3 Pro TKL Black,HyperX Cloud II
,100 Thieves,Nadeshot,G-Wolves Hati S+ 4K,1000,800,0.35,280,1,ZOWIE XL2566K,1920x1080,Higround Performance Mousepad,Custom Keyboard,Sennheiser HD 600
,100 Thieves,bang,Logitech G Pro X Superlight Black,1000,800,0.32,256,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,Logitech G Pro Keyboard,Logitech G Pro X Headset
,100 Thieves,Asuna,Razer DeathAdder V2,1000,1400,0.26,364,0.7,ZOWIE XL2546K,1920x1080,Artisan Ninja FX Zero Soft,Higround Snowstone Base 65,HyperX Cloud II
,100 Thieves,Boostio,Finalmouse Ultralight X Medium,1000,800,0.233,186.4,1,LG ULTRAGEAR 27GN750-B,1920x1080,ZOWIE G-SR-SE Rouge,SteelSeries Apex Pro TKL (2023),HyperX Cloud II
,100 Thieves,eeiu,Logitech G Pro X Superlight 2 Black,2000,,,,1,ZOWIE XL2546,1920x1080,Artisan Hayate Otsu Soft,Logitech G Pro X Keyboard,
,100 Thieves,Cryocells,Logitech G Pro X Superlight Magenta,1000,800,0.3,240.00,1,ZOWIE XL2546,1440x1080,SWIPE SP-FROST,Higround Snowstone Summit 2.0 65,HyperX Cloud Stinger II
,NOEZ FOXX,Fisker,ZOWIE EC2-C,1000,800,0.35,280,1,Lenovo Legion Y25-25,1920x1080,VAXEE PA FunSpark,SteelSeries Apex Pro TKL,Logitech G Pro X Headset
,ZETA Gaming,falltw,Razer Deathadder V3 Pro Black,1000,800,0.377,301.6,1,ZOWIE XL2566K,1280x960,SteelSeries QcK+,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro Black
,GoNext Esports,Zeek,Logitech G Pro X Superlight Magenta,1000,1000,0.305,305,1,ZOWIE XL2546,1440x1080,Lethal Gaming Gear Venus,Logitech G Pro X Keyboard,Logitech G Pro X Headset
,Nongshim RedForce,Xross,Razer Viper V2 Pro Black,4000,800,0.23,184,1,ZOWIE XL2546K,1920x1080,Artisan Ninja FX Zero XSoft,SteelSeries Apex Pro Mini Black,
,Nongshim RedForce,Foxar,Razer Viper V2 Pro Black,4000,800,0.25,200,0.7,ZOWIE XL2546K,1920x1080,SteelSeries QcK Heavy,SteelSeries Apex Pro TKL (2023),Razer BlackShark V2 Pro Black
,Nongshim RedForce,Pkm,Razer Viper Mini Signature Edition,4000,1600,0.165,264,1,ZOWIE XL2546K,1920x1080,ZOWIE G-SR-SE Rouge,Wooting 60 HE,HyperX Cloud II
,Nongshim RedForce,Rap1d,Finalmouse Ultralight X Medium,4000,1600,0.1,160.00,1,ZOWIE XL2546K,1920x1080,ZOWIE G-SR-SE Rouge,Yuki Aim 65% Keyboard,HyperX Cloud III
,Nongshim RedForce,Rico,Logitech G Pro X Superlight 2 White,1000,800,0.3,240,0.75,ZOWIE XL2546K,1920x1080,Kurosun Ninja Speed,SteelSeries Apex Pro TKL (2023),
,Crest Gaming Zst,Moothie,Razer Viper V3 Hyperspeed,1000,400,0.45,180,0.7,ZOWIE XL2546,1920x1080,X-raypad Equate,HyperX Alloy Origins Core,
,Dsyre,Filu,Razer Deathadder V3 Pro White,4000,800,0.285,228,1,ZOWIE XL2546K,1920x1080,Razer Gigantus V2,Razer Huntsman Mini,Razer BlackShark V2 Pro Black
,Fire Flux Esports,Turko,Logitech G Pro X Superlight Black,1000,400,0.6,240,1,,1920x1080,HyperX Fury S Pro,HyperX Alloy FPS,HyperX Cloud II
,Fire Flux Esports,qw1,ZOWIE EC2-CW,1000,400,0.6,240.00,1,ZOWIE XL2546K,1280x960,ESPTIGER LongTeng,Anne Pro 2,Logitech G Pro X Headset
,Dragon Ranger Gaming,vo0kashu,Logitech G Pro X Superlight 2 Magenta,1000,800,0.211,168.8,1,ZOWIE XL2546K,1280x960,VAXEE PA Pcute,Wooting 60 HE,Razer BlackShark V2 Pro White
,Dragon Ranger Gaming,nizhaoTZH,Logitech G Pro X Superlight 2 Black,1000,1600,0.125,200,1,ZOWIE XL2566K,1280x960,Artisan Ninja FX Zero Soft,Wooting 60 HE,Razer BlackShark V2 Pro Black
,Dragon Ranger Gaming,Nicc,Razer Viper V3 Pro Black,1000,800,0.21,168,1,ZOWIE XL2566K,1280x960,VAXEE PB,Wooting 60 HE,Razer BlackShark V2 Pro Black
,Dragon Ranger Gaming,Dingwei,Razer Viper V3 Pro Black,1000,800,0.207,165.6,1,ZOWIE XL2566K,1280x960,VAXEE PB,Razer Huntsman V3 Pro Mini,Razer BlackShark V2 Pro Black
,Dragon Ranger Gaming,Shion7,Razer Viper V3 Pro Black,1000,800,0.3,240,1,ZOWIE XL2566K,1920x1080,Razer Gigantus V2,Razer Huntsman V3 Pro Mini,Razer BlackShark V2 Pro Black
,Dragon Ranger Gaming,TvirusLuke,Razer Deathadder V3 Pro Black,1000,800,0.485,388,1,ZOWIE XL2546K,1280x1024,VAXEE PA Winter 21,Ducky One 2,
,Free Agent,Rawkus,FinalMouse Starlight Pro,1000,800,0.4,320,1,ZOWIE XL2546,1920x1080,Artisan Ninja FX Zero XSoft,Ducky One 2 Mini,Sennheiser GAME ZERO
,Free Agent,seb,Xtrfy M4 Miami Blue,1000,400,0.420,168,0.9,ZOWIE XL2540K,1920x1080,Artisan Ninja FX Zero Soft,SteelSeries Apex Pro TKL,Sennheiser GAME ONE
,Free Agent,disk0,Logitech G Pro X Superlight Black,1000,400,0.525,210,1,Alienware AW2720HF,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,Logitech G Pro X Headset
,Free Agent,Texta,Logitech G Pro Gaming Mouse,1000,400,0.700,280,1,Alienware AW2521HF,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,Logitech G Pro X Headset
,Free Agent,Relyks,Logitech G Pro X Superlight Black,1000,400,0.79,316,1,ZOWIE XL2540,1920x1080,Artisan Hayate Otsu XSoft,HyperX Alloy FPS,HyperX Cloud II
,Free Agent,ZexRow,Razer Viper V2 Pro Black,1000,800,0.314,251.2,1,ZOWIE XL2566K,1920x1080,Razer Strider,Razer Huntsman V2 TKL,Razer BlackShark V2
,Free Agent,Drone,Logitech G Pro X Superlight Black,1000,800,0.34,251.2,1,ZOWIE XL2540,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,Logitech G Pro X Headset
,Free Agent,v1xen,Logitech G Pro X Superlight Black,1000,800,0.450,360,1,AlienWare AW2518HF,,GIGABYTE AORUS AMP500,Cooler Master CK550 V2,HyperX Cloud Alpha
,Free Agent,RECIDENT,FinalMouse Starlight-12,1000,800,0.25,200,,ZOWIE XL2546K,1920x1080,Razer Gigantus,Razer Huntsman TE,Razer BlackShark V2
,Free Agent,Ange,Razer Deathadder V3 Pro Black,1000,1600,0.14,224,1,,1920x1080,Razer Acari,Razer Huntsman Mini,Razer BlackShark V2 Pro Black
,Free Agent,Trick,Razer Viper V2 Pro Black,1000,800,0.305,244,1,,1920x1080,Razer Acari,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro Black
,Free Agent,psalm,Logitech G Pro X Superlight Black,1000,800,0.340,272,1,ZOWIE XL2546K,1920x1080,Artisan FX Hien Soft,Custom Keyboard,
,Free Agent,Yacine,Logitech G Pro Wireless,1000,800,0.25,200,1,ZOWIE XL2546,1920x1080,QPAD FX 50,Custom Keyboard,HyperX Cloud II
,Free Agent,vice,Logitech G Pro Wireless,1000,800,0.245,196,1,ZOWIE XL2546,1280x960,HyperX Fury S Speed Edition,Logitech G915 TKL Carbon,HyperX Cloud Revolver S
,Free Agent,babybay,G-Wolves Hati S+ 4K,1000,800,0.2,160,1,ZOWIE XL2546,1920x1080,Lethal Gaming Gear Saturn,Logitech G Pro X Keyboard,HyperX Cloud Alpha
,Free Agent,dimasick,Razer Deathadder V3 Pro Black,1000,400,0.75,300,1,ZOWIE XL2546,1280x960,Artisan Ninja FX Zero Soft,Wooting 60 HE,HyperX Cloud Alpha
,Free Agent,ZachaREEE,FinalMouse Starlight-12,1000,800,0.52,416,1,ASUS ROG SWIFT PG258Q,1920x1080,ZOWIE G-SR-SE Deep Blue,Varmilo VA87M Summit,Sennheiser GAME ONE
,Free Agent,BraveAF,Logitech G Pro X Superlight Black,1000,400,0.785,314,1,ZOWIE XL2546K,1920x1080,SteelSeries QcK Heavy,Fnatic STREAK65 LP,Logitech G Pro X Headset
,Free Agent,PoPiFresH,VAXEE OUTSET AX Funspark,1000,800,0.39,312,1,ZOWIE XL2566K,1920x1080,VAXEE PA FunSpark,Razer Huntsman Mini,HyperX Cloud II
,Free Agent,Wardell,Logitech G Pro X Superlight Black,1000,400,0.691,260.8,1.15,ZOWIE XL2566K,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,Logitech G Pro X Headset
,Free Agent,rin,VAXEE ZYGEN NP-01S Wireless Orange,,,,,,ZOWIE XL2566K,,VAXEE PA Pcute,Logitech G715,
,Free Agent,gtnziN,Logitech G Pro X Superlight Black,1000,400,0.580,232,1,AOC G2460PF,1680x1050,ESPTIGER LongTeng,Razer Blackwidow Chroma TE V2,HyperX Cloud Alpha
,Free Agent,koldamenta,Razer Deathadder V3 Pro White,1000,800,0.3,240,1,ASUS ROG XG258Q,1440x900,Logitech G640 Original,Logitech G512,Logitech G Pro X Headset
,Free Agent,H1ber,Logitech G Pro X Superlight Black,1000,400,0.67,268,1,ZOWIE XL2566K,1440x1080,Logitech G640 Original,Logitech G Pro Keyboard,HyperX Cloud II
,Free Agent,Suggest,Logitech G Pro X Superlight Magenta,1000,1600,0.15,240,1,Alienware AW2518H,1280x960,XTEN Control,Logitech G915,Logitech G Pro X Headset
,Free Agent,JoXJo,Logitech G Pro X Superlight Black,1000,800,0.355,284,1,ZOWIE XL2566K,1280x960,Artisan FX Hien Soft,Wooting 60 HE,
,Free Agent,Subroza,Logitech G Pro X Superlight Black,1000,800,0.277,221.6,1,ZOWIE XL2566K,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,Logitech G Pro X Headset
,Free Agent,Thwifo,Logitech G Pro Wireless,1000,800,0.28,224,1.0,Alienware AW2521HF,1600x900,SteelSeries QcK+,SteelSeries Apex Pro TKL,Sennheiser GAME ONE
,Free Agent,Sylvan,Logitech G Pro X Superlight White,1000,800,0.27,216,1,,,SteelSeries QcK Heavy,Logitech G Pro X Keyboard,ASTRO A50
,Free Agent,eko,ZOWIE EC2-CW,1000,800,0.32,256,1,,,SteelSeries QcK Heavy,Logitech G Pro X Keyboard,Corsair Void RGB Elite White
,Free Agent,TS,Logitech G Pro X Superlight White,1000,400,0.583,233,1,ASUS ROG XG258Q,1920x1080,ZOWIE G-SR,Logitech G915 TKL Carbon,Logitech G Pro X Headset
,Free Agent,Yassa,Logitech G Pro X Superlight Magenta,1000,800,0.23,184,1,GIGABYTE AORUS FI25F,1920x1080,Logitech G640 Original,Logitech G Pro Keyboard,Logitech G Pro X Wireless Headset
,Free Agent,clear,Razer Viper V3 Hyperspeed,1000,1600,0.12,192,0.7,,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,beyerdynamic DT 770 Pro
